"time","symbol","price","float","volume","relative","change","strategy"
"03:29:09  03-13-2020","CLGN","10,06","2.520.260","2.356,0","2,78","5,3","High Momo"
"03:28:56  03-13-2020","CSBR","6,00","8.078.420","1.470,4","3,18","43,2","High Momo"
"03:28:56  03-13-2020","CSBR","5,96","8.078.420","1.283,2","3,11","42,2","High Momo"
"03:26:44  03-13-2020","FEDU","1,35","14.367.500","3.094,4","1,08","1,5","High Momo"
"03:25:42  03-13-2020","MBIN","15,67","16.241.500","1.575,3","1,82","10,0","High Momo"
"03:25:42  03-13-2020","MBIN","15,62","16.241.500","1.324,1","1,60","9,7","High Momo"
"03:25:42  03-13-2020","MBIN","15,59","16.241.500","1.155,0","1,46","9,5","High Momo"
"03:25:41  03-13-2020","CVV","3,25","5.337.510","2.781,3","2,23","14,2","High Momo"
"03:25:41  03-13-2020","CVV","3,24","5.337.510","2.698,5","2,16","13,9","High Momo"
"03:24:24  03-13-2020","VAPO","12,59","11.511.000","2.567,3","14,65","30,9","High Momo"
"03:24:21  03-13-2020","VAPO","12,44","11.511.000","2.543,7","14,61","29,3","High Momo"
"03:24:21  03-13-2020","VAPO","12,38","11.511.000","2.530,6","14,58","28,7","High Momo"
"03:24:21  03-13-2020","VAPO","12,30","11.511.000","2.528,7","14,57","27,9","High Momo"
"03:24:19  03-13-2020","VAPO","12,20","11.511.000","2.522,9","14,57","26,8","High Momo"
"03:23:21  03-13-2020","CVV","3,22","5.337.510","2.195,5","1,85","13,2","High Momo"
"03:22:21  03-13-2020","HHS","2,75","5.649.770","5.718,9","3,26","8,3","High Momo"
"03:22:16  03-13-2020","VAPO","12,13","11.511.000","2.739,5","14,93","26,1","High Momo"
"03:22:09  03-13-2020","SI","8,94","10.262.400","1.354,6","3,40","17,2","High Momo"
"03:21:28  03-13-2020","BXC","6,76","9.034.060","1.376,3","7,49","33,6","High Momo"
"03:21:26  03-13-2020","BXC","6,51","9.034.060","1.216,6","7,34","28,7","High Momo"
"03:20:43  03-13-2020","SI","8,94","10.262.400","1.561,6","3,24","17,1","High Momo"
"03:20:10  03-13-2020","VAPO","11,95","11.511.000","2.655,6","15,19","24,2","High Momo"
"03:20:10  03-13-2020","HHS","2,72","5.649.770","5.504,1","3,32","7,1","High Momo"
"03:20:10  03-13-2020","VAPO","11,90","11.511.000","2.653,7","15,19","23,7","High Momo"
"03:19:31  03-13-2020","SI","8,81","10.262.400","1.401,5","3,18","15,4","High Momo"
"03:18:35  03-13-2020","SI","8,71","10.262.400","1.529,7","2,92","14,2","High Momo"
"03:17:08  03-13-2020","FSEA","8,00","2.642.790","2.564,1","1,87","3,2","High Momo"
"03:16:29  03-13-2020","MICR","2,47","2.179.300","3.588,5","2,04","3,3","High Momo"
"03:15:40  03-13-2020","MOHO","7,49","5.429.320","3.576,7","2,94","5,6","High Momo"
"03:12:30  03-13-2020","ISDR","9,85","2.926.380","1.039,4","4,75","6,5","High Momo"
